"No.","Time","Source","Destination","Protocol","Length","Info"
"269","5.762285700","20.189.173.15","192.168.2.27","TCP","66","443  >  55534 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"270","5.762472500","192.168.2.27","20.189.173.15","TCP","54","55534  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"271","5.767205500","192.168.2.27","20.189.173.15","TLSv1.3","613","Client Hello (SNI=mobile.events.data.microsoft.com)"
"272","5.837772200","20.189.173.15","192.168.2.27","TLSv1.3","1488","Server Hello, Change Cipher Spec"
"273","5.837772200","20.189.173.15","192.168.2.27","TCP","1488","443  >  55534 [ACK] Seq=1435 Ack=560 Win=4193792 Len=1434 [TCP PDU reassembled in 276]"
"274","5.837772200","20.189.173.15","192.168.2.27","TCP","1488","443  >  55534 [ACK] Seq=2869 Ack=560 Win=4193792 Len=1434 [TCP PDU reassembled in 276]"
"275","5.837772200","20.189.173.15","192.168.2.27","TCP","1488","443  >  55534 [ACK] Seq=4303 Ack=560 Win=4193792 Len=1434 [TCP PDU reassembled in 276]"
"276","5.837772200","20.189.173.15","192.168.2.27","TLSv1.3","573","Application Data"
"277","5.837982900","192.168.2.27","20.189.173.15","TCP","54","55534  >  443 [ACK] Seq=560 Ack=6256 Win=262144 Len=0"
"278","5.841271300","192.168.2.27","20.189.173.15","TLSv1.3","134","Change Cipher Spec, Application Data"
"279","5.841559700","192.168.2.27","20.189.173.15","TLSv1.3","505","Application Data"
"280","5.841620700","192.168.2.27","20.189.173.15","TLSv1.3","866","Application Data"
"281","5.908486000","20.189.173.15","192.168.2.27","TLSv1.3","157","Application Data"
"282","5.908607100","192.168.2.27","20.189.173.15","TCP","54","55534  >  443 [ACK] Seq=1903 Ack=6359 Win=261888 Len=0"
"283","5.909460900","20.189.173.15","192.168.2.27","TCP","54","443  >  55534 [ACK] Seq=6256 Ack=1903 Win=4194304 Len=0"
"284","5.909460900","20.189.173.15","192.168.2.27","TLSv1.3","499","Application Data"
"285","5.909516600","192.168.2.27","20.189.173.15","TCP","54","[TCP Dup ACK 282#1] 55534  >  443 [ACK] Seq=1903 Ack=6359 Win=261888 Len=0"
"286","5.909586800","192.168.2.27","20.189.173.15","TCP","54","55534  >  443 [ACK] Seq=1903 Ack=6804 Win=261376 Len=0"
"287","6.240754300","150.171.22.11","192.168.2.27","TCP","54","443  >  60966 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"288","6.937505700","13.107.137.11","192.168.2.27","TCP","54","443  >  54771 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"289","7.780350100","52.123.128.14","192.168.2.27","TCP","54","443  >  62314 [ACK] Seq=1 Ack=1 Win=16381 Len=0"
"290","7.780524800","192.168.2.27","52.123.128.14","TCP","54","[TCP ACKed unseen segment] 62314  >  443 [ACK] Seq=1 Ack=2 Win=250 Len=0"
"291","7.781299900","52.110.16.32","192.168.2.27","TCP","54","443  >  49838 [ACK] Seq=1 Ack=1 Win=253 Len=0"
"292","7.781423600","192.168.2.27","52.110.16.32","TCP","54","[TCP ACKed unseen segment] 49838  >  443 [ACK] Seq=1 Ack=1048 Win=1019 Len=0"
"293","7.782882600","52.110.16.17","192.168.2.27","TCP","54","443  >  50833 [ACK] Seq=1 Ack=1 Win=253 Len=0"
"294","7.782986700","192.168.2.27","52.110.16.17","TCP","54","[TCP ACKed unseen segment] 50833  >  443 [ACK] Seq=1 Ack=33 Win=1023 Len=0"
"295","7.783455900","52.110.16.32","192.168.2.27","TCP","54","[TCP Previous segment not captured] 443  >  49838 [ACK] Seq=1048 Ack=1 Win=252 Len=0"
"296","7.784309800","52.110.16.17","192.168.2.27","TCP","54","[TCP Previous segment not captured] 443  >  50833 [ACK] Seq=33 Ack=1 Win=252 Len=0"
"297","7.791354700","150.171.110.23","192.168.2.27","TCP","54","443  >  54769 [ACK] Seq=1 Ack=1 Win=133 Len=0"
"298","7.791354700","23.209.72.168","192.168.2.27","TCP","54","443  >  54770 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"299","7.791469700","192.168.2.27","150.171.110.23","TCP","54","[TCP ACKed unseen segment] 54769  >  443 [ACK] Seq=1 Ack=2 Win=253 Len=0"
"300","7.791548400","192.168.2.27","23.209.72.168","TCP","54","[TCP ACKed unseen segment] 54770  >  443 [ACK] Seq=1 Ack=2 Win=511 Len=0"
"301","8.147151800","192.168.2.1","192.168.2.255","UDP","104","9431  >  9431 Len=62"
"302","8.213661300","13.107.136.10","192.168.2.27","TCP","54","443  >  62303 [RST, ACK] Seq=2 Ack=1 Win=0 Len=0"
"303","8.405878900","192.168.2.27","104.208.16.91","TLSv1.2","507","Application Data"
"304","8.406011800","192.168.2.27","104.208.16.91","TCP","1494","62302  >  443 [ACK] Seq=454 Ack=1 Win=1018 Len=1440 [TCP PDU reassembled in 305]"
"305","8.406011800","192.168.2.27","104.208.16.91","TLSv1.2","1308","Application Data"
"306","8.434982000","104.208.16.91","192.168.2.27","TCP","54","443  >  62302 [ACK] Seq=1 Ack=1894 Win=16384 Len=0"
"307","8.439127300","104.208.16.91","192.168.2.27","TLSv1.2","499","Application Data"
"308","8.439241000","192.168.2.27","104.208.16.91","TCP","54","62302  >  443 [ACK] Seq=3148 Ack=446 Win=1024 Len=0"
"309","9.169064300","13.107.137.11","192.168.2.27","TCP","54","443  >  63974 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"310","9.699596700","fe80::4786:248f:9cd8:b2d9","fe80::8220:daff:fe0e:7ab9","ICMPv6","86","Neighbor Solicitation for fe80::8220:daff:fe0e:7ab9 from e0:2e:0b:f7:f1:ac"
"311","9.701150900","fe80::8220:daff:fe0e:7ab9","fe80::4786:248f:9cd8:b2d9","ICMPv6","78","Neighbor Advertisement fe80::8220:daff:fe0e:7ab9 (rtr, sol)"
"312","9.782175600","20.135.6.7","192.168.2.27","TCP","54","443  >  62324 [ACK] Seq=1 Ack=1 Win=2050 Len=0"
"313","9.782175600","20.209.36.235","192.168.2.27","TCP","54","443  >  62344 [ACK] Seq=1 Ack=1 Win=16384 Len=0"
"314","9.782236000","192.168.2.27","20.135.6.7","TCP","54","[TCP ACKed unseen segment] 62324  >  443 [ACK] Seq=1 Ack=2 Win=252 Len=0"
"315","9.782265500","192.168.2.27","20.209.36.235","TCP","54","[TCP ACKed unseen segment] 62344  >  443 [ACK] Seq=1 Ack=422 Win=253 Len=0"
"316","9.806324100","20.209.36.235","192.168.2.27","TCP","54","[TCP Previous segment not captured] 443  >  62344 [ACK] Seq=422 Ack=1 Win=16379 Len=0"
"317","11.000476300","2001:4958:39c4:4c01:4017:e224:4d19:eaed","2001:4958:300:480::b896:9d89","TCP","86","55535  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"318","11.004000400","2001:4958:39c4:4c01:8220:daff:fe0e:7ab8","2001:4958:39c4:4c01:4017:e224:4d19:eaed","ICMPv6","134","Destination Unreachable (Address unreachable)"
"319","12.009722800","2001:4958:39c4:4c01:4017:e224:4d19:eaed","2001:4958:300:480::b896:9d89","TCP","86","[TCP Retransmission] 55535  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
